acoustic,acoustic guitar,aggressive,altered with effects,alternative,ambient sounds,angry,arousing,backing vocals,bass guitar,boring,calming,catchy,changing energy,cheerful,classic rock,cleaning the house,cold,constant energy,country,danceable,depressed,distorted electric guitar,driving,drum machine,drum set,electric,electric guitar,electronica,emotional,emotional vocals,energy,exciting,fast,female lead vocals,folk,forget,going to sleep,hanging with friends,happy,heavy,heavy beat,high pitched,indifferent,jazz,light,light beat,lighthearted,like,low energy,major,male lead vocals,mellow,metal,minor,morose,negative,negative feelings,normal,not angry - agressive,not calming,not happy,not likeable,not recommended,not sad,party,piano,pleasant,pop,positive,positive feelings,powerful,r&b,recommended,recording quality,relax,rock,romantic,rough,sad,sampler,sequencer,slow,soft rock,strong,studio recording,studying,synthesized,synthesizer,tender,touching,undanceable,unpleasant,unromantic,uptight,vocal harmonies,weak
0.6558316,0.0077900547,0.0009574974,0.0056872847,0.055234503,0.0011773759,0.007420888,0.09368436,0.12104526,0.2649422,0.09488421,0.027215853,0.21125631,0.004554302,0.03321392,0.07158017,0.008252848,0.019149737,0.19707678,0.009483792,0.056570563,0.16104715,0.004670282,0.26954266,0.003700582,0.77167547,0.79729027,0.07161094,0.007332261,0.08660304,0.04487826,0.632427,0.11454554,0.29400262,0.031148408,0.0015283783,0.078043796,0.008371373,0.002971965,0.13375737,0.10495588,0.048242822,0.009964886,0.2340467,0.0003879953,0.008199764,0.053943634,0.04596626,0.08464032,0.08153612,0.1445017,0.88351303,0.041817993,0.0044883336,0.0020200622,0.2094111,0.12596418,0.02020283,0.84364265,0.8384472,0.45690283,0.0087146005,0.020149263,0.047398727,0.5664613,0.008348125,0.06465448,0.15880567,0.0073016165,0.2136217,0.38067025,0.072725505,0.0029754273,0.023575144,0.48055172,0.01639122,0.12011349,0.004298747,0.60272205,0.029608492,0.0063594957,0.0048510665,0.16160621,0.0067811357,0.025050936,0.99233025,0.0025715039,0.18606216,0.034263276,0.010031247,0.010874309,0.5750511,0.030098552,0.52629673,0.14259642,0.044157904,0.07298319
0.62209463,0.0044819973,0.00031220153,0.0043016504,0.042717014,0.006597168,0.0048634512,0.07400944,0.11323436,0.22734734,0.15548196,0.048611753,0.15791023,0.0037150525,0.02728746,0.06662362,0.008806542,0.035397492,0.21023561,0.015561556,0.03947356,0.100607015,0.0031680684,0.16479935,0.0036910519,0.46882993,0.6124017,0.029706547,0.0057165897,0.06566196,0.08417422,0.35080603,0.05100713,0.19679388,0.046161365,0.0016234902,0.19750044,0.013621995,0.0028182555,0.13255017,0.19658965,0.035163026,0.006187962,0.17107075,0.0019480999,0.016203009,0.11804165,0.07836314,0.16272299,0.16173424,0.088028334,0.65968734,0.11239118,0.0027757145,0.004074694,0.14382961,0.14248633,0.009661868,0.77623236,0.8559757,0.19609053,0.010162091,0.014399399,0.03737461,0.5877243,0.032151498,0.06874373,0.30157983,0.011816394,0.15620185,0.5296749,0.039906207,0.008052803,0.017694911,0.5572992,0.058960915,0.08310063,0.0123399,0.57111114,0.026351608,0.0044467733,0.0029055509,0.27490383,0.0069636465,0.020873776,0.9542726,0.0011495979,0.250705,0.05687136,0.013904243,0.01747445,0.7309736,0.022100868,0.41250372,0.09096898,0.024651116,0.08962027
0.69182205,0.0026380282,0.0066765896,0.0028173432,0.1278408,0.019182052,0.004751814,0.18318948,0.08572134,0.22615685,0.32068732,0.1862492,0.2402836,0.0030801045,0.030432984,0.039842416,0.013259357,0.028024413,0.30353552,0.054473106,0.009049118,0.16221446,0.020688271,0.2102633,0.0077464166,0.4515084,0.45318937,0.014413857,0.020159543,0.04543621,0.29672033,0.14764538,0.059153713,0.32106847,0.08726421,0.008099444,0.13746779,0.028952323,0.01298609,0.18817666,0.12495503,0.076074906,0.020179411,0.046097763,0.005413279,0.02353392,0.32845357,0.21694268,0.12002375,0.3848998,0.051072903,0.57183814,0.19407184,0.010286708,0.016285649,0.20419921,0.42850924,0.0153372465,0.77306235,0.81765187,0.21423702,0.08579285,0.016600782,0.033635937,0.3740114,0.02766873,0.07219271,0.6211905,0.024807312,0.056347106,0.2620926,0.046791885,0.01630764,0.014955274,0.5672081,0.20012894,0.1876254,0.014440386,0.3411289,0.07053253,0.009490512,0.0102580385,0.39608425,0.019274969,0.028527595,0.94036394,0.00341118,0.5490713,0.03220601,0.036704037,0.078750975,0.5427179,0.022747079,0.3201997,0.21996406,0.062329654,0.19073156
0.6709346,0.011024453,0.0054449267,0.021322807,0.09038885,0.0017211181,0.017940149,0.18162578,0.13300212,0.33120364,0.11683329,0.033486832,0.1949918,0.012620897,0.048895575,0.08707605,0.010212906,0.024895407,0.31388146,0.023559064,0.04671435,0.27747893,0.0073838686,0.20084126,0.0056673847,0.7635381,0.8235808,0.087971844,0.009162585,0.12964216,0.06475775,0.586197,0.06335444,0.49016413,0.03638,0.0027103554,0.09164375,0.013956196,0.0042763487,0.15062101,0.08253428,0.100169726,0.013431546,0.16491218,0.00068392226,0.015636154,0.054113645,0.061033227,0.12062813,0.07460157,0.12779447,0.8837883,0.06488229,0.0051343427,0.0022275406,0.21956976,0.14127742,0.029611517,0.8057521,0.7985453,0.5725378,0.019824333,0.036555987,0.061095886,0.5502181,0.007486627,0.077394515,0.1487202,0.010344191,0.18370806,0.36486593,0.10235673,0.005238434,0.039370447,0.5473779,0.014739191,0.22897875,0.0060012457,0.6115374,0.040309157,0.008271708,0.010270609,0.143225,0.009484835,0.02120031,0.98689055,0.008081983,0.1986985,0.034358103,0.01171876,0.012554494,0.5899617,0.046725128,0.5894487,0.20778628,0.046501365,0.09232311
0.62050515,0.010776456,0.001084744,0.005833168,0.028777353,0.0016505261,0.013871082,0.07782989,0.113268904,0.24433304,0.095763616,0.055045515,0.1782444,0.0070470423,0.015416075,0.15276738,0.006057904,0.05569578,0.18382849,0.015192181,0.09683168,0.12895854,0.009550365,0.17224406,0.005592775,0.6951765,0.78633076,0.07530364,0.009131542,0.075561,0.027625872,0.601945,0.17433736,0.2382465,0.06650566,0.0018321945,0.10494067,0.009726569,0.007538352,0.20755887,0.14083514,0.032596316,0.007756025,0.36913157,0.0003759839,0.015677117,0.047653604,0.05656961,0.086956784,0.047595255,0.11982255,0.8309551,0.028242134,0.004227547,0.0023619507,0.2591716,0.10149431,0.020048875,0.8231374,0.59658056,0.4409179,0.008780902,0.027250562,0.053501423,0.52469283,0.012691183,0.06147639,0.14283295,0.012791959,0.22968136,0.47239,0.06962057,0.005269706,0.06822793,0.5142484,0.0077648847,0.1804115,0.009663068,0.76688176,0.043888927,0.009744848,0.009770345,0.23370086,0.018304572,0.013171783,0.98556376,0.0031906795,0.08738858,0.04070008,0.0124256,0.010798515,0.5762441,0.03290003,0.47828728,0.16991127,0.03431486,0.074877776
0.7526608,0.003429534,0.00023218353,0.0014709107,0.022056397,0.0010467597,0.003746579,0.06530292,0.071426965,0.30116326,0.06281521,0.052410547,0.2401149,0.002247583,0.025224844,0.05041947,0.0043097297,0.02271202,0.23350012,0.004379198,0.036899228,0.10478021,0.0017433023,0.22871032,0.0016567489,0.5428452,0.8001365,0.03475675,0.0058366205,0.0698969,0.032092016,0.54336864,0.06297558,0.20045406,0.023019746,0.0006903714,0.087547235,0.0065412507,0.0020033792,0.105986305,0.12392517,0.026677245,0.004220126,0.31709713,0.000615525,0.0066626733,0.079013266,0.036285646,0.07195279,0.14325926,0.051158708,0.8210066,0.031557407,0.0012598454,0.0010551126,0.16022713,0.0757157,0.01037947,0.84412163,0.84853107,0.17350194,0.0043618437,0.008093581,0.038670104,0.47211254,0.010438956,0.11648722,0.19971246,0.0057860697,0.26478985,0.40178004,0.046158288,0.004973673,0.012068722,0.6157429,0.014686236,0.052817218,0.0056543318,0.7192141,0.0148935355,0.003491634,0.0011269716,0.18531983,0.0041489047,0.0066431956,0.9912479,0.0011199942,0.08019223,0.01651046,0.0063508293,0.0079397485,0.6831957,0.013584221,0.4200081,0.09997342,0.027501928,0.046896018
0.9998116,0.78278434,0.0028529125,5.0517635e-08,0.006709025,0.00974044,0.00017400426,0.0004892577,9.5880525e-05,0.6247935,0.5961457,0.0056572873,2.716206e-07,6.1787214e-05,9.097923e-06,2.8942356e-06,0.0064243944,1.0182323e-06,0.91263396,0.7809567,6.651255e-05,1.3201115e-05,0.24376704,0.001949969,2.628784e-06,0.05890566,7.4400664e-06,0.0023279209,0.0004180904,1.0976147e-06,3.0893739e-06,0.8396745,0.00015825142,4.9164705e-06,5.1127404e-07,3.379254e-08,0.031621367,0.0040401495,4.470692e-07,0.9945491,0.03877686,0.9472362,0.0001364565,1.883072e-05,2.4824517e-06,0.002361981,0.03875875,0.1704072,5.044363e-05,0.0016207627,0.00010081509,0.8885093,0.0005168117,0.28423423,4.6300502e-07,0.021803945,0.9936625,7.0985435e-09,0.00054857234,0.40091318,0.010384986,0.12136483,6.7004424e-07,1.3403297e-05,0.024330847,0.00093121355,0.46400073,0.98480034,2.8984789e-05,0.26735014,0.00013131948,0.9998894,0.3432214,0.001718239,0.027592497,0.5261579,0.007502358,0.22726014,0.99569523,1.0171414e-08,0.0005492239,0.0006388114,0.97148997,4.640735e-07,0.17599013,0.9931781,4.1038547e-06,1.0547432e-05,5.8631894e-08,0.00025529397,0.12463791,0.8979162,0.00014832363,0.99551636,0.9530356,0.8944843,1.564677e-05
0.61801046,0.0003624938,0.002739356,0.006408234,0.27917373,0.015272721,0.00035251438,0.12119884,0.018553445,0.2821198,0.7890424,0.04143037,0.04641292,0.0024378607,0.009522859,0.008999592,0.052246653,0.209041,0.60810924,0.039932992,0.014131193,0.03955056,0.18624297,0.099713944,0.001788702,0.06636332,0.7306819,0.00051892037,0.0035397457,0.043995243,0.05308392,0.44601342,0.016541615,0.20264578,0.014160313,0.007075685,0.1328897,0.027266415,0.03371635,0.5752059,0.077452585,0.0055479384,0.0150785325,0.011715612,0.004417095,0.46243644,0.09637552,0.08943639,0.6517768,0.6674038,0.0065547447,0.34402984,0.06820349,0.00019391987,0.0016296974,0.0304444,0.20685767,0.0011133378,0.7386823,0.7185637,0.011231802,0.041521456,0.014421518,0.03888749,0.08064644,0.07773694,0.055070378,0.73327994,0.05317449,0.052695747,0.15142585,0.10272375,0.046716467,0.05235264,0.7661989,0.098710895,0.14301604,0.47663283,0.5947136,0.015699612,0.005273101,0.025578296,0.35577866,0.01681844,0.0065386076,0.98966295,0.00056402606,0.7736499,0.08549668,0.04835316,0.43548283,0.9580999,0.008985004,0.0028949247,0.2470724,0.025026271,0.051668275
0.47245613,0.0138415145,0.0032788818,0.033629656,0.09664011,0.0009896377,0.0206623,0.22867396,0.18645746,0.27826044,0.110741004,0.018555393,0.23217343,0.011136297,0.074529596,0.18481389,0.01853231,0.029099079,0.22525297,0.01825936,0.10531404,0.1827947,0.022300877,0.28798833,0.011154597,0.8262777,0.90145785,0.069109246,0.009084772,0.10988826,0.0639615,0.81597984,0.19441421,0.35280886,0.0577177,0.0026509291,0.15456294,0.008460251,0.00731932,0.19217674,0.09653648,0.17716125,0.01411624,0.33241263,0.00034454477,0.02089462,0.033242688,0.039459974,0.086319976,0.04017037,0.17954493,0.9152495,0.055055887,0.008283525,0.0032994903,0.16655506,0.13873082,0.041373435,0.8261899,0.85927975,0.68066514,0.021101905,0.063667215,0.071793176,0.71598697,0.0067598415,0.036544733,0.14670189,0.013949674,0.21218768,0.51546067,0.29164633,0.0023815187,0.06142764,0.6997708,0.015020129,0.15676132,0.0036693837,0.5808189,0.0443486,0.0066190003,0.008968889,0.118985415,0.030039577,0.07279211,0.989199,0.009365309,0.17194001,0.05553353,0.016794637,0.012763706,0.6267973,0.050546486,0.69061935,0.33161202,0.04009639,0.05216385
0.68456805,0.0043189432,0.00021158898,0.0011521922,0.00561823,0.00061268336,0.0043743234,0.04319514,0.019314466,0.1561027,0.08044191,0.016335744,0.14621861,0.0017182792,0.013520715,0.027943421,0.0027625887,0.00616656,0.19832873,0.006151872,0.04791535,0.04820352,0.0014199499,0.26312435,0.00067697896,0.41205487,0.6278153,0.013064519,0.0034927076,0.03712207,0.050921932,0.36582115,0.08631571,0.1325144,0.014327903,7.1524526e-05,0.022538098,0.0097417,0.00035667722,0.07176898,0.19958384,0.019238992,0.001957984,0.113883235,0.00020814867,0.0056324922,0.047295414,0.018110063,0.03277841,0.16909468,0.037761692,0.87975395,0.022331271,0.00022825127,0.0009696314,0.19541918,0.054972395,0.0032981825,0.7487188,0.9078075,0.13256592,0.0059075197,0.012759453,0.03709012,0.2589355,0.0033272093,0.1359018,0.1213711,0.005216707,0.16244559,0.32918003,0.035042323,0.004461085,0.018562695,0.52550066,0.009759271,0.100780904,0.014108166,0.8460154,0.004166353,0.0034443475,0.001146147,0.108519986,0.0012006618,0.0021196725,0.9950867,0.0008349968,0.25723764,0.012644031,0.00396652,0.0056237336,0.6148967,0.03541856,0.1704363,0.059522636,0.009373403,0.023547506
